ref:ine;name;@type;@id;@lat;@lon
47165000503;Pedroso de la Abadesa;node;34094832;41.5531043;-4.9364563
47113000101;Pedrosa del Rey;node;34094835;41.5558293;-5.2028220
47008000101;Almenara de Adaja;node;34094837;41.2140052;-4.6770670
47115000101;Peñaflor de Hornija;node;34094838;41.7115693;-4.9810606
47009000101;Amusquillo;node;34094840;41.7488589;-4.3016445
47114000401;Peñafiel;node;34094841;41.5975136;-4.1227931
47116000201;Pesquera de Duero;node;34094852;41.6416062;-4.1558587
47010000101;Arroyo de la Encomienda;node;34094856;41.6221279;-4.7813957
47117000101;Piña de Esgueva;node;34094860;41.7282613;-4.4285403
47186000301;Pinar de Antequera;node;34094867;41.5862795;-4.7553905
47131000101;Rábano;node;34094874;41.5330207;-4.0614104
47231000101;Zaratán;node;34094886;41.6594549;-4.7833204
47012000101;Bahabón;node;34094890;41.4809876;-4.2786005
47132000101;Ramiro;node;34094892;41.2285281;-4.7857515
47232000101;La Zarza;node;34094897;41.2612189;-4.7698263
47011000101;Ataquines;node;34094900;41.1818477;-4.8057355
47133000101;Renedo de Esgueva;node;34094903;41.6539858;-4.6276293
47165000801;Villavieja del Cerro;node;34094907;41.5330000;-5.0359600
47014000101;Barruelo del Valle;node;34094910;41.6738042;-5.0694379
47135000101;Robladillo;node;34094914;41.6080465;-4.9101378
47230000101;Wamba;node;34094917;41.6762220;-4.9172803
47085000301;Rodilana;node;34094928;41.3710159;-4.8781384
47016000101;Benafarces;node;34094933;41.6210848;-5.2935315
47137000101;Roturas;node;34094937;41.6682638;-4.1180563
47015000101;Becilla de Valderaduey;node;34095000;42.0980087;-5.2179628
47138000101;Rubí de Bracamonte;node;34095002;41.2143669;-4.9241377
47153000301;Zorita de la Loma;node;34095004;42.2379755;-5.0221034
47018000101;Berceruelo;node;34095044;41.5802174;-5.0325645
47139000201;Rueda;node;34095049;41.4129785;-4.9597533
47017000101;Bercero;node;34095064;41.5635561;-5.0558951
47020000101;Bobadilla del Campo;node;34095070;41.2051084;-5.0227588
47124000101;Pozaldez;node;34095073;41.3721132;-4.8446431
47019000101;Berrueces;node;34095076;41.9455060;-5.0975153
47125000101;Pozuelo de la Orden;node;34095079;41.8222400;-5.2590600
47022000101;Bocos de Duero;node;34095083;41.6236618;-4.0690547
47186000402;Puente Duero;node;34095109;41.5536707;-4.7907303
47021000101;Bocigas;node;34095113;41.2291692;-4.6809528
47126000101;Puras;node;34095116;41.1823173;-4.6491499
47024000101;Bolaños de Campos;node;34095121;42.0062728;-5.2838725
47127000101;Quintanilla de Arriba;node;34095137;41.6197055;-4.2182197
47023000103;Boecillo;node;34095138;41.5406814;-4.6993793
47129000101;Quintanilla de Onésimo;node;34095141;41.6258997;-4.3627746
47026000101;Bustillo de Chaves;node;34095143;42.1304506;-5.0910466
47130000101;Quintanilla de Trigueros;node;34095146;41.8538650;-4.6592140
47025000101;Brahojos de Medina;node;34095149;41.2313136;-5.0419437
